year,quarter,rank,category,product_name
2023,1,1,생활소품,반가미니어처(Ver2)
2023,1,2,생활소품,반가미니어처(Ver3)
2023,1,3,생활소품,왕과왕비수저
2023,1,4,공예품,자개  텀블러
2023,1,5,생활소품,나전무선충전기
2023,1,6,생활소품,자개소반 무선충전기
2023,1,7,생활소품,곤룡포잔_세트
2023,1,8,생활소품,머그접시세트
2023,1,9,문구사무,백제발굴체험
2023,1,10,문구사무,조선시대미니유물발굴체험
2023,1,11,공예품,나전칠기명함집(금속)
2023,1,12,생활소품,주병세트
2023,1,13,공예품,전통문양  찻잔세트
2023,1,14,문구사무,우리문화재책갈피세트_일반형
2023,1,15,공예품,이조  연화당초  육각  악세사리함
2023,1,16,생활소품,반가사유상  무드등
2023,1,17,공예품,청자다식접시세트(3p)
2023,1,18,문구사무,신라발굴체험
2023,1,19,문구사무,나전칠기마그넷
2023,1,20,문구사무,고구려발굴체험
2023,1,21,생활소품,실경도자기잔세트A
2023,1,22,문구사무,금관연필(검은색)
2023,1,23,식품,고요한아침의나라-전통차
2023,1,24,생활소품,전통매듭공기
2023,1,25,생활소품,3단자동우산_가례도감의궤
2023,1,26,생활소품,초충도  손수건
2023,1,27,문구사무,우리문화재책갈피세트_고급형
2023,1,28,생활소품,의궤수저세트
2023,1,29,패션/잡화,접이부채_의궤
2023,1,30,생활소품,신라책갈피세트
2023,2,1,생활소품,접이부채  시리즈
2023,2,2,생활소품,반가미니어처(Ver3)
2023,2,3,공예품,자개텀블러
2023,2,4,생활소품,왕과왕비수저
2023,2,5,생활소품,나난  초충도에디션
2023,2,6,생활소품,3단자동우산_문화유산시리즈
2023,2,7,생활소품,반가미니어처(Ver2)
2023,2,8,공예품,왕과왕비잔세트
2023,2,9,생활소품,주병세트
2023,2,10,생활소품,곤룡포잔_세트
2023,2,11,공예품,나전칠기명함집(금속)
2023,2,12,생활소품,나전칠기  벽시계_달토끼
2023,2,13,패션/잡화,"호랑이전  손거울_나전,자수호랑이"
2023,2,14,공예품,청자다식접시세트(3p)
2023,2,15,생활소품,실경도자기잔세트
2023,2,16,생활소품,자개소반  무선충전기
2023,2,17,문구사무,조선시대미니유물발굴체험
2023,2,18,생활소품,의궤수저세트
2023,2,19,공예품,전통문양  찻잔세트
2023,2,20,생활소품,금관굽잔세트
2023,2,21,문구사무,금관연필_검은색
2023,2,22,문구사무,우리문화재책갈피_고급형
2023,2,23,문구사무,백제발굴체험
2023,2,24,문구사무,특별한양장수첩_꽃과나비
2023,2,25,생활소품,곤룡포잔_세트
2023,2,26,문구사무,특별한양장수첩_나전
2023,2,27,문구사무,볼펜_서울
2023,2,28,문구사무,나전칠기마그넷
2023,2,29,공예품,나전부채자석
2023,2,30,공예품,도자문잔받침세트
2023,3,1,생활소품,자개텀블러
2023,3,2,패션/잡화,접이부채  시리즈
2023,3,3,생활소품,주병세트
2023,3,4,생활소품,반가미니어처(Ver3)
2023,3,5,생활소품,왕과왕비수저
2023,3,6,서적,"전시도록_영원한여정,특별한동행:상형토기와토우장식토기"
2023,3,7,생활소품,3단자동우산_문화유산시리즈
2023,3,8,생활소품,곤룡포잔_세트
2023,3,9,생활소품,반가미니어처(Ver2)
2023,3,10,문구/사무,나전칠기명함집(금속)
2023,3,11,패션/잡화,일월오봉도  에코백
2023,3,12,공예품,청자다식접시세트(3p)
2023,3,13,생활소품,자개소반  무선충전기
2023,3,14,문구/사무,백제발굴체험
2023,3,15,생활소품,초충도  손수건
2023,3,16,문구/사무,조선시대미니유물발굴체험
2023,3,17,생활소품,금관굽잔세트
2023,3,18,문구/사무,나전소반  만들기
2023,3,19,생활소품,일월오봉도  잔세트(2P)
2023,3,20,생활소품,나전부채자석
2023,3,21,문구/사무,금관연필_검은색(1P)
2023,3,22,문구/사무,볼펜_서울
2023,3,23,생활소품,실경/도자기잔세트
2023,3,24,생활소품,나전원형코스터
2023,3,25,생활소품,나전칠기마그넷
2023,3,26,생활소품,의궤수저세트
2023,3,27,공예품,전통문양  찻잔세트
2023,3,28,생활소품,곤룡포  투명머그
2023,3,29,생활소품,전통매듭공기
2023,3,30,공예품,도자문잔받침세트
2023,4,1,생활소품,청자잔세트
2023,4,2,생활소품,자개텀블러
2023,4,3,생활소품,주병세트
2023,4,4,생활소품,왕과왕비수저
2023,4,5,생활소품,접이부채  시리즈
2023,4,6,생활소품,반가미니어처(Ver3)
2023,4,7,생활소품,3단자동우산_문화유산시리즈
2023,4,8,생활소품,특별한양장수첩_나전
2023,4,9,문구/사무,2024  국립박물관  달력
2023,4,10,생활소품,나전칠기명함집(금속)
2023,4,11,생활소품,신라의미소파우치
2023,4,12,문구/사무,발굴체험(고구려/백제/신라/조선)
2023,4,13,생활소품,곤룡포잔_세트
2023,4,14,패션/잡화,나전스카프
2023,4,15,생활소품,초충도  손수건
2023,4,16,생활소품,의궤수저세트
2023,4,17,생활소품,금관굽잔세트
2023,4,18,생활소품,우리문화재책갈피세트_일반형
2023,4,19,생활소품,은나노손톱깎이세트
2023,4,20,생활소품,청자볼펜세트
2023,4,21,생활소품,반가미니어처(Ver2)
2023,4,22,공예품,청자다식접시세트(3p)
2023,4,23,생활소품,실경산수화  도자기잔  세트
2023,4,24,공예품,이조  연화당초  육각  악세사리함
2023,4,25,생활소품,우리문화재책갈피_고급형
2023,4,26,생활소품,청자접시세트
2023,4,27,생활소품,신라의미소우양산
2023,4,28,공예품,전통문양찻잔세트
2023,4,29,서적,"전시도록_스투파의숲,신비로운인도이야기[도록편]"
2023,4,30,생활소품,자개소반무선충전기
2024,1,1,생활소품,반가미니어처(Ver2)
2024,1,2,생활소품,반가미니어처(Ver3)
2024,1,3,생활소품,왕과왕비수저
2024,1,4,공예품,자개  텀블러
2024,1,5,생활소품,나전무선충전기
2024,1,6,생활소품,자개소반 무선충전기
2024,1,7,생활소품,곤룡포잔_세트
2024,1,8,생활소품,머그접시세트
2024,1,9,문구사무,백제발굴체험
2024,1,10,문구사무,조선시대미니유물발굴체험
2024,1,11,공예품,나전칠기명함집(금속)
2024,1,12,생활소품,주병세트
2024,1,13,공예품,전통문양  찻잔세트
2024,1,14,문구사무,우리문화재책갈피세트_일반형
2024,1,15,공예품,이조  연화당초  육각  악세사리함
2024,1,16,생활소품,반가사유상  무드등
2024,1,17,공예품,청자다식접시세트(3p)
2024,1,18,문구사무,신라발굴체험
2024,1,19,문구사무,나전칠기마그넷
2024,1,20,문구사무,고구려발굴체험
2024,1,21,생활소품,실경도자기잔세트A
2024,1,22,문구사무,금관연필(검은색)
2024,1,23,식품,고요한아침의나라-전통차
2024,1,24,생활소품,전통매듭공기
2024,1,25,생활소품,3단자동우산_가례도감의궤
2024,1,26,생활소품,초충도  손수건
2024,1,27,문구사무,우리문화재책갈피세트_고급형
2024,1,28,생활소품,의궤수저세트
2024,1,29,패션잡화,접이부채_의궤
2024,1,30,생활소품,신라책갈피세트
2024,2,1,생활소품,접이부채  시리즈
2024,2,2,생활소품,반가미니어처(Ver3)
2024,2,3,공예품,자개텀블러
2024,2,4,생활소품,왕과왕비수저
2024,2,5,생활소품,나난  초충도에디션
2024,2,6,생활소품,3단자동우산_문화유산시리즈
2024,2,7,생활소품,반가미니어처(Ver2)
2024,2,8,공예품,왕과왕비잔세트
2024,2,9,생활소품,주병세트
2024,2,10,생활소품,곤룡포잔_세트
2024,2,11,공예품,나전칠기명함집(금속)
2024,2,12,생활소품,나전칠기  벽시계_달토끼
2024,2,13,패션잡화,"호랑이전  손거울_나전,자수호랑이"
2024,2,14,공예품,청자다식접시세트(3p)
2024,2,15,생활소품,실경도자기잔세트
2024,2,16,생활소품,자개소반  무선충전기
2024,2,17,문구사무,조선시대미니유물발굴체험
2024,2,18,생활소품,의궤수저세트
2024,2,19,공예품,전통문양  찻잔세트
2024,2,20,생활소품,금관굽잔세트
2024,2,21,문구사무,금관연필_검은색
2024,2,22,문구사무,우리문화재책갈피_고급형
2024,2,23,문구사무,백제발굴체험
2024,2,24,문구사무,특별한양장수첩_꽃과나비
2024,2,25,생활소품,곤룡포잔_세트
2024,2,26,문구사무,특별한양장수첩_나전
2024,2,27,문구사무,볼펜_서울
2024,2,28,문구사무,나전칠기마그넷
2024,2,29,공예품,나전부채자석
2024,2,30,공예품,도자문잔받침세트
2024,3,1,생활소품,자개텀블러
2024,3,2,패션잡화,접이부채  시리즈
2024,3,3,생활소품,주병세트
2024,3,4,생활소품,반가미니어처(Ver3)
2024,3,5,생활소품,왕과왕비수저
2024,3,6,서적,"전시도록_영원한여정,특별한동행:상형토기와토우장식토기"
2024,3,7,생활소품,3단자동우산_문화유산시리즈
2024,3,8,생활소품,곤룡포잔_세트
2024,3,9,생활소품,반가미니어처(Ver2)
2024,3,10,문구사무,나전칠기명함집(금속)
2024,3,11,패션잡화,일월오봉도  에코백
2024,3,12,공예품,청자다식접시세트(3p)
2024,3,13,생활소품,자개소반  무선충전기
2024,3,14,문구사무,백제발굴체험
2024,3,15,생활소품,초충도  손수건
2024,3,16,문구사무,조선시대미니유물발굴체험
2024,3,17,생활소품,금관굽잔세트
2024,3,18,문구사무,나전소반  만들기
2024,3,19,생활소품,일월오봉도  잔세트(2P)
2024,3,20,생활소품,나전부채자석
2024,3,21,문구사무,금관연필_검은색(1P)
2024,3,22,문구사무,볼펜_서울
2024,3,23,생활소품,실경/도자기잔세트
2024,3,24,생활소품,나전원형코스터
2024,3,25,생활소품,나전칠기마그넷
2024,3,26,생활소품,의궤수저세트
2024,3,27,공예품,전통문양  찻잔세트
2024,3,28,생활소품,곤룡포  투명머그
2024,3,29,생활소품,전통매듭공기
2024,3,30,공예품,도자문잔받침세트
2024,4,1,생활소품,청자잔세트
2024,4,2,생활소품,자개텀블러
2024,4,3,생활소품,주병세트
2024,4,4,생활소품,왕과왕비수저
2024,4,5,생활소품,접이부채  시리즈
2024,4,6,생활소품,반가미니어처(Ver3)
2024,4,7,생활소품,3단자동우산_문화유산시리즈
2024,4,8,생활소품,특별한양장수첩_나전
2024,4,9,문구사무,2024  국립박물관  달력
2024,4,10,생활소품,나전칠기명함집(금속)
2024,4,11,생활소품,신라의미소파우치
2024,4,12,문구사무,발굴체험(고구려/백제/신라/조선)
2024,4,13,생활소품,곤룡포잔_세트
2024,4,14,패션잡화,나전스카프
2024,4,15,생활소품,초충도  손수건
2024,4,16,생활소품,의궤수저세트
2024,4,17,생활소품,금관굽잔세트
2024,4,18,생활소품,우리문화재책갈피세트_일반형
2024,4,19,생활소품,은나노손톱깎이세트
2024,4,20,생활소품,청자볼펜세트
2024,4,21,생활소품,반가미니어처(Ver2)
2024,4,22,공예품,청자다식접시세트(3p)
2024,4,23,생활소품,실경산수화  도자기잔  세트
2024,4,24,공예품,이조  연화당초  육각  악세사리함
2024,4,25,생활소품,우리문화재책갈피_고급형
2024,4,26,생활소품,청자접시세트
2024,4,27,생활소품,신라의미소우양산
2024,4,28,공예품,전통문양찻잔세트
2024,4,29,서적,"전시도록_스투파의숲,신비로운인도이야기[도록편]"
2024,4,30,생활소품,자개소반무선충전기
2025,1,1,생활소품,취객선비3인방변색잔세트
2025,1,2,생활소품,취객선비변색막걸리잔(선비1/선비2/선비3)
2025,1,3,생활소품,청자잔세트
2025,1,4,문구사무,단청기계식유선키보드(검은색/흰색)
2025,1,5,생활소품,석굴암조명(대)(돌색/나무색)
2025,1,6,취미/완구,발굴체험(고구려/백제/신라/조선)
2025,1,7,생활소품,반가미니어처(78호/83호)
2025,1,8,생활소품,자개텀블러(매화/연꽃/목련/대나무/난초/버드나무/소나무/무궁화)
2025,1,9,생활소품,석굴암조명(소)(돌색/나무색)
2025,1,10,생활소품,왕과왕비수저
2025,1,11,생활소품,신라의미소소스볼세트_3p
2025,1,12,생활소품,접이부채(화접도/남일호노란꽃/세검정도/의궤/박연폭포/연꽃/인왕제색도/해산도첩/도원행주/화훼도/꽃과나비)
2025,1,13,생활소품,나전칠기명함집(난초/모란넝쿨/쌍학/포도/모란의환영/청룡/용/봉황)
2025,1,14,생활소품,청자텀블러_소(학/모란/주자)
2025,1,15,생활소품,달항아리도어차임(백색/연초록/연핑크)
2025,1,16,생활소품,백제금동대향로 미니어처(골드/라임/민트/블루/코랄/퍼플/핑크)
2025,1,17,문구사무,보드게임도블(국립중앙박물관에디션)
2025,1,18,생활소품,주병세트
2025,1,19,생활소품,금속와인마개(청자/백자/적색/백색/앤틱/형형색색/녹색)
2025,1,20,생활소품,부뚜막인센스세트
2025,1,21,문구사무,책갈피(전통문양/손자수/잎/한복/부채/사리외호/미륵사지탑)
2025,1,22,생활소품,달토끼나전칠기벽시계(블랙/베이지)
2025,1,23,생활소품,십장생수건3종세트
2025,1,24,생활소품,청자막걸리잔세트
2025,1,25,생활소품,청자접시세트
2025,1,26,생활소품,단3자동우산(의궤/화접도/남일호노란꽃/금강산도/풍속화)
2025,1,27,서적,"전시도록_푸른세상을빚다,고려상형청자"
2025,1,28,생활소품,청자텀블러_대
2025,1,29,생활소품,청자황금머그
2025,1,30,생활소품,명태 오브제(골드/번트아이언/블랙/형광레드/화이트)
2025,2,1,생활소품,취객선비3인방변색잔세트
2025,2,2,문구사무,단청기계식유선키보드(검은색/흰색)
2025,2,3,생활소품,접이부채(화접도/남일호노란꽃/세검정도/의궤/박연폭포/연꽃/인왕제색도/해산도첩/도원행주/화훼도/꽃과나비)
2025,2,4,생활소품,취객선비변색막걸리잔(선비1/선비2/선비3)
2025,2,5,생활소품,청자잔세트
2025,2,6,문구사무,나전칠기명함집(난초/모란넝쿨/쌍학/포도/모란의환영/청룡/용/봉황)
2025,2,7,생활소품,반가미니어처(78호/83호)
2025,2,8,취미/완구,발굴체험(고구려/백제/신라/조선)
2025,2,9,생활소품,금속와인마개(청자/백자/적색/백색/앤틱/형형색색/녹색)
2025,2,10,생활소품,자개텀블러(매화/연꽃/목련/대나무/난초/버드나무/소나무/무궁화)
2025,2,11,생활소품,신라의미소소스볼세트_3p
2025,2,12,생활소품,주병세트
2025,2,13,생활소품,청자텀블러_소(학/모란/주자)
2025,2,14,생활소품,왕과왕비수저
2025,2,15,문구사무,책갈피(전통문양/손자수/잎/한복/부채/사리외호/미륵사지탑)
2025,2,16,생활소품,백제금동대향로 미니어처(골드/라임/민트/블루/코랄/퍼플/핑크)
2025,2,17,생활소품,단3자동우산(의궤/화접도/남일호노란꽃/금강산도/풍속화)
2025,2,18,생활소품,달항아리도어차임(백색/연초록/연핑크)
2025,2,19,생활소품,십장생수건3종세트
2025,2,20,생활소품,곤룡포잔_세트
2025,2,21,생활소품,청자접시세트
2025,2,22,취미/완구,보드게임도블(국립중앙박물관에디션)
2025,2,23,패션/잡화,12지신팔찌
2025,2,24,문구사무,특별한양장수첩(나전/꽃과나비/청룡/진하도)
2025,2,25,생활소품,패브릭부채(나전블랙/나전핑크/초화문편병/옥잠화/사리외호)
2025,2,26,공예품,부뚜막인센스세트
2025,2,27,생활소품,석굴암조명(대)(돌색/나무색)
2025,2,28,생활소품,큰보-들잔(600ml)(매화백/매와흑/대나무흑/연꽃/목련/소나무/동백백/대나무백/동백흑)
2025,2,29,생활소품,청자막걸리잔세트
2025,2,30,서적,"전시도록_새나라,새미술:조선전기미술대전"
2025,3,1,생활소품,까치호랑이 배지
2025,3,2,생활소품,취객선비3인방변색잔세트
2025,3,3,문구사무,단청기계식유선키보드(검은색/흰색)
2025,3,4,생활소품,곤룡포비치타올
2025,3,5,생활소품,반가미니어처(78호/83호/한정기획에디션)
2025,3,6,생활소품,접이부채(화접도/남일호노란꽃/세검정도/의궤/박연폭포/연꽃/인왕제색도/해산도첩/도원행주/화훼도/꽃과나비)
2025,3,7,취미/완구,발굴체험(고구려/백제/신라/조선)
2025,3,8,문구사무,우리문화재책갈피_고급형
2025,3,9,생활소품,석굴암조명(대)(돌색/나무색)
2025,3,10,생활소품,취객선비변색막걸리잔(선비1/선비2/선비3)
2025,3,11,생활소품,금속와인마개(청자/백자/적색/백색/앤틱/형형색색/녹색)
2025,3,12,생활소품,자개텀블러(매화/연꽃/목련/대나무/난초/버드나무/소나무/무궁화)
2025,3,13,생활소품,청자잔세트
2025,3,14,문구사무,나전칠기명함집(난초/모란넝쿨/쌍학/포도/모란의환영/청룡/용/봉황)
2025,3,15,생활소품,신라의미소소스볼세트_3p
2025,3,16,패션/잡화,신라금관 브로치
2025,3,17,생활소품,달항아리도어차임(백색/연초록/연핑크)
2025,3,18,생활소품,안전키링_호랑이까치(화이트펄블랙/오렌지블랙/블루블랙/화이트펄화이트/블루화이트)
2025,3,19,생활소품,갓키링(자개/흙색/명록색)
2025,3,20,패션/잡화,12지신팔찌
2025,3,21,생활소품,석굴암조명(소)(돌색/나무색)
2025,3,22,문구사무,전통모자볼펜(흑립갓끈/족두리/익선관/면류관/전립)
2025,3,23,생활소품,호랑이 손거울(나전/자수)
2025,3,24,생활소품,왕과왕비수저
2025,3,25,생활소품,큰보-들잔(600ml)(매화백/매와흑/대나무흑/연꽃/목련/소나무/동백백/대나무백/동백흑)
2025,3,26,생활소품,청자텀블러_소(학/모란/주자)
2025,3,27,생활소품,십장생수건3종세트
2025,3,28,취미/완구,보드게임도블(국립중앙박물관에디션)
2025,3,29,생활소품,청자풍경모빌(상감구름/참외모란꽃/상감나리꽃)
2025,3,30,문구사무,책갈피(전통문양/손자수/잎/한복/부채/사리외호/미륵사지탑)
